home_geo_id,work_geo_id,commuter_count,net_commute_flow,data_year,source
2.40276E+11,9,4,-945,2022,LEHD LODES8 OD
2.40276E+11,1,1412,-1587,2022,LEHD LODES8 OD
2.40276E+11,2,112,-1587,2022,LEHD LODES8 OD
2.40276E+11,3,39,-1587,2022,LEHD LODES8 OD
2.40276E+11,4,22,-1587,2022,LEHD LODES8 OD
2.40276E+11,5,2,-1587,2022,LEHD LODES8 OD
2.40276E+11,7,0,-1587,2022,LEHD LODES8 OD
2.40276E+11,1,1171,-1335,2022,LEHD LODES8 OD
2.40276E+11,2,108,-1335,2022,LEHD LODES8 OD
2.40276E+11,3,16,-1335,2022,LEHD LODES8 OD
2.40276E+11,4,8,-1335,2022,LEHD LODES8 OD
2.40276E+11,5,20,-1335,2022,LEHD LODES8 OD
2.40276E+11,6,12,-1335,2022,LEHD LODES8 OD
2.40276E+11,1,423,-498,2022,LEHD LODES8 OD
2.40276E+11,2,43,-498,2022,LEHD LODES8 OD
2.40276E+11,3,12,-498,2022,LEHD LODES8 OD
2.40276E+11,4,10,-498,2022,LEHD LODES8 OD
2.40276E+11,5,6,-498,2022,LEHD LODES8 OD
2.40276E+11,6,4,-498,2022,LEHD LODES8 OD
2.40276E+11,1,500,-702,2022,LEHD LODES8 OD
2.40276E+11,12,2,-702,2022,LEHD LODES8 OD
2.40276E+11,2,126,-702,2022,LEHD LODES8 OD
2.40276E+11,3,32,-702,2022,LEHD LODES8 OD
2.40276E+11,4,16,-702,2022,LEHD LODES8 OD
2.40276E+11,5,10,-702,2022,LEHD LODES8 OD
2.40276E+11,6,4,-702,2022,LEHD LODES8 OD
2.40276E+11,7,12,-702,2022,LEHD LODES8 OD
2.40276E+11,1,335,-363,2022,LEHD LODES8 OD
2.40276E+11,2,20,-363,2022,LEHD LODES8 OD
2.40276E+11,3,8,-363,2022,LEHD LODES8 OD
2.40276E+11,1,400,-478,2022,LEHD LODES8 OD
2.40276E+11,2,62,-478,2022,LEHD LODES8 OD
2.40276E+11,3,16,-478,2022,LEHD LODES8 OD
2.40276E+11,4,0,-478,2022,LEHD LODES8 OD
2.40276E+11,1,275,-458,2022,LEHD LODES8 OD
2.40276E+11,12,6,-458,2022,LEHD LODES8 OD
2.40276E+11,13,18,-458,2022,LEHD LODES8 OD
